suite,case_id,backend,status,result,expected,elapsed_sec,error_type,error_message,tags,source
growing,mathcounts_005,wfomc,solved,4,4,0.609639,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=5,MATHCOUNTS bag choose
growing,mathcounts_005,propositionalwfomc,solved,4,4,0.676698,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=5,MATHCOUNTS bag choose
growing,mathcounts_005,coso,solved,4,4,0.376328,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=5,MATHCOUNTS bag choose
growing,mathcounts_005,asp,unsolved,11,4,0.195438,WrongAnswer,"expected 4, got 11",mathcounts;bag;choose;count;growing;family=mathcounts;domain=5,MATHCOUNTS bag choose
growing,mathcounts_005,essence,solved,4,4,2.026230,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=5,MATHCOUNTS bag choose
growing,mathcounts_010,wfomc,solved,100,100,0.610502,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=10,MATHCOUNTS bag choose
growing,mathcounts_010,propositionalwfomc,solved,100,100,1.349693,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=10,MATHCOUNTS bag choose
growing,mathcounts_010,coso,solved,100,100,0.509618,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=10,MATHCOUNTS bag choose
growing,mathcounts_010,asp,unsolved,430,100,0.290398,WrongAnswer,"expected 100, got 430",mathcounts;bag;choose;count;growing;family=mathcounts;domain=10,MATHCOUNTS bag choose
growing,mathcounts_010,essence,solved,100,100,2.952113,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=10,MATHCOUNTS bag choose
growing,mathcounts_015,wfomc,solved,614,614,0.624106,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=15,MATHCOUNTS bag choose
growing,mathcounts_015,propositionalwfomc,solved,614,614,2.538294,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=15,MATHCOUNTS bag choose
growing,mathcounts_015,coso,solved,614,614,0.598908,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=15,MATHCOUNTS bag choose
growing,mathcounts_015,asp,unsolved,2964,614,3.632245,WrongAnswer,"expected 614, got 2964",mathcounts;bag;choose;count;growing;family=mathcounts;domain=15,MATHCOUNTS bag choose
growing,mathcounts_015,essence,solved,614,614,4.213448,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=15,MATHCOUNTS bag choose
growing,mathcounts_020,wfomc,solved,2569,2569,0.630800,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=20,MATHCOUNTS bag choose
growing,mathcounts_020,propositionalwfomc,solved,2569,2569,4.152197,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=20,MATHCOUNTS bag choose
growing,mathcounts_020,coso,solved,2569,2569,0.633804,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=20,MATHCOUNTS bag choose
growing,mathcounts_020,asp,unsolved,9951,2569,37.786546,WrongAnswer,"expected 2569, got 9951",mathcounts;bag;choose;count;growing;family=mathcounts;domain=20,MATHCOUNTS bag choose
growing,mathcounts_020,essence,solved,2569,2569,7.239547,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=20,MATHCOUNTS bag choose
growing,mathcounts_025,wfomc,solved,6525,6525,0.620468,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=25,MATHCOUNTS bag choose
growing,mathcounts_025,propositionalwfomc,solved,6525,6525,6.287393,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=25,MATHCOUNTS bag choose
